"scientific_name","family","taxonrank","gbif_rec"
"Sciurus pucheranii (Fitzinger, 1867)","Sciuridae","SPECIES","8"
"Rhipidomys Tschudi, 1845","Cricetidae","GENUS","8"
"Proechimys semispinosus (Tomes, 1860)","Echimyidae","SPECIES","7"
"Glossophaga E.Geoffroy, 1818","Phyllostomidae","GENUS","7"
"Mazama americana (Erxleben, 1777)","Cervidae","SPECIES","7"
"Micronycteris microtis Miller, 1898","Phyllostomidae","SPECIES","7"
"Mimon crenulatum (E.Geoffroy, 1803)","Phyllostomidae","SPECIES","7"
"Neacomys tenuipes Thomas, 1900","Cricetidae","SPECIES","7"
"Rhinophylla alethina Handley, 1966","Phyllostomidae","SPECIES","7"
"Sigmodontomys J.A.Allen, 1897","Cricetidae","GENUS","7"
"Uroderma Peters, 1866","Phyllostomidae","GENUS","7"
"Macrophyllum macrophyllum (Schinz, 1821)","Phyllostomidae","SPECIES","6"
"Philander Brisson, 1762","Didelphidae","GENUS","6"
"Nasua Storr, 1780","Procyonidae","GENUS","6"
"Panthera onca (Linnaeus, 1758)","Felidae","SPECIES","6"
"Coendou prehensilis (Linnaeus, 1758)","Erethizontidae","SPECIES","6"
"Micronycteris Gray, 1866","Phyllostomidae","GENUS","6"
"Lophostoma occidentalis (Davis & Carter, 1978)","Phyllostomidae","SPECIES","6"
"Lasiurus cinereus (Palisot de Beauvois, 1796)","Vespertilionidae","SPECIES","6"
"Vampyrodes caraccioli (Thomas, 1889)","Phyllostomidae","SPECIES","6"
"Oryzomys albigularis (Tomes, 1860)","Cricetidae","SPECIES","6"
"Sturnira mistratensis Vega & Cadena, 2000","Phyllostomidae","SPECIES","6"
"Dasyprocta fuliginosa Wagler, 1832","Dasyproctidae","SPECIES","6"
"Sturnira giannae Velazco & Patterson, 2019","Phyllostomidae","SPECIES","5"
"Chiroderma villosum Peters, 1860","Phyllostomidae","SPECIES","5"
"Uroderma magnirostrum Davis, 1968","Phyllostomidae","SPECIES","5"
"Sturnira oporaphilum (Tschudi, 1844)","Phyllostomidae","SPECIES","5"
"Chiroderma trinitatum Goodwin, 1958","Phyllostomidae","SPECIES","5"
"Hoplomys gymnurus (Thomas, 1897)","Echimyidae","SPECIES","5"
"Vampyrodes major G.M.Allen, 1908","Phyllostomidae","SPECIES","5"
"Microsciurus flaviventer (Gray, 1867)","Sciuridae","SPECIES","5"
"Anoura cadenai Mantilla-Meluk & Baker, 2006","Phyllostomidae","SPECIES","5"
"Nyctinomops macrotis (Gray, 1840)","Molossidae","SPECIES","5"
"Nyctinomops laticaudatus (E.Geoffroy, 1805)","Molossidae","SPECIES","5"
"Marmosa Gray, 1821","Didelphidae","GENUS","5"
"Micronycteris minuta (Gervais, 1856)","Phyllostomidae","SPECIES","5"
"Caluromys lanatus (Olfers, 1818)","Didelphidae","SPECIES","5"
"Syntheosciurus Bangs, 1902","Sciuridae","GENUS","5"
"Lonchophylla Thomas, 1903","Phyllostomidae","GENUS","5"
"Neusticomys monticolus Anthony, 1921","Cricetidae","SPECIES","5"
"Sciurus Linnaeus, 1758","Sciuridae","GENUS","5"
"Chironectes minimus minimus","Didelphidae","SUBSPECIES","4"
"Vespertilionidae","Vespertilionidae","FAMILY","4"
"Microryzomys Thomas, 1917","Cricetidae","GENUS","4"
