"scientific_name","family","taxonrank","gbif_rec"
"Atractus multicinctus (Jan, 1865)","Colubridae","SPECIES","7"
"Riama striata (Peters, 1863)","Gymnophthalmidae","SPECIES","7"
"Rhinoclemmys annulata (Gray, 1860)","Geoemydidae","SPECIES","7"
"Atractus loveridgei Amaral, 1930","Colubridae","SPECIES","7"
"Chironius exoletus (Linnaeus, 1758)","Colubridae","SPECIES","7"
"Anolis fuscoauratus D'Orbigny, 1837","Dactyloidae","SPECIES","7"
"Oxyrhopus petolarius sebae (Duméril, Bibron & Duméril, 1854)","Colubridae","SUBSPECIES","7"
"Leptodeira septentrionalis (Kennicott, 1859)","Colubridae","SPECIES","7"
"Diaphorolepis wagneri Jan, 1863","Colubridae","SPECIES","7"
"Lampropeltis Fitzinger, 1843","Colubridae","GENUS","7"
"Leptodeira ornata (Bocourt, 1884)","Colubridae","SPECIES","7"
"Boa constrictor Linnaeus, 1758","Boidae","SPECIES","7"
"Anolis heterodermus Duméril, 1851","Dactyloidae","SPECIES","7"
"Erythrolamprus epinephalus pseudocobella (Peracca, 1914)","Colubridae","SUBSPECIES","6"
"Alopoglossus stenolepis (Boulenger, 1908)","Alopoglossidae","SPECIES","6"
"Polychrus gutturosus Berthold, 1846","Polychrotidae","SPECIES","6"
"Imantodes inornatus (Boulenger, 1896)","Colubridae","SPECIES","6"
"Mastigodryas danieli Amaral, 1935","Colubridae","SPECIES","6"
"Rhinobothryum bovallii (Andersson, 1916)","Colubridae","SPECIES","6"
"Dipsas temporalis (Werner, 1909)","Colubridae","SPECIES","6"
"Rhinoclemmys melanosterna (Gray, 1861)","Geoemydidae","SPECIES","6"
"Ameiva anomala Echternacht, 1977","Teiidae","SPECIES","6"
"Anolis rivalis Williams, 1984","Dactyloidae","SPECIES","6"
"Holcosus bridgesii Cope, 1869","Teiidae","SPECIES","6"
"Leptodeira Fitzinger, 1843","Colubridae","GENUS","6"
"Ninia atrata (Hallowell, 1845)","Colubridae","SPECIES","6"
"Nothopsis rugosus Cope, 1871","Colubridae","SPECIES","6"
"Sibon annulatus (Günther, 1872)","Colubridae","SPECIES","5"
"Liophis epinephalus Cope, 1862","Colubridae","SPECIES","5"
"Bothrops atrox (Linnaeus, 1758)","Viperidae","SPECIES","5"
"Anolis fraseri Günther, 1859","Dactyloidae","SPECIES","5"
"Saphenophis sneiderni Myers, 1973","Colubridae","SPECIES","5"
"Riama columbiana (Andersson, 1914)","Gymnophthalmidae","SPECIES","5"
"Proctoporus Tschudi, 1845","Gymnophthalmidae","GENUS","5"
"Sibon ayerbeorum Vera-Pérez, 2019","Colubridae","SPECIES","5"
"Erythrolamprus cobella (Linnaeus, 1758)","Colubridae","SPECIES","5"
"Crotalus durissus Linnaeus, 1758","Viperidae","SPECIES","5"
"Erythrolamprus Boie, 1826","Colubridae","GENUS","5"
"Caiman crocodilus (Linnaeus, 1758)","Alligatoridae","SPECIES","4"
"Atractus melas Boulenger, 1908","Colubridae","SPECIES","4"
"Atractus obesus Marx, 1960","Colubridae","SPECIES","4"
"Basiliscus Laurenti, 1768","Corytophanidae","GENUS","4"
"Boa imperator Daudin, 1803","Boidae","SPECIES","4"
"Chelonoidis carbonarius (Spix, 1824)","Testudinidae","SPECIES","4"
"Clelia equatoriana (Amaral, 1924)","Colubridae","SPECIES","4"
"Corallus annulatus (Cope, 1875)","Boidae","SPECIES","4"
"Dendrophidion percarinatum (Cope, 1893)","Colubridae","SPECIES","4"
"Dipsas Laurenti, 1768","Colubridae","GENUS","4"
"Drymarchon melanurus (Duméril, Bibron & Duméril, 1854)","Colubridae","SPECIES","4"
"Drymobius Fitzinger, 1843","Colubridae","GENUS","4"
"Geophis Wagler, 1830","Colubridae","GENUS","4"
"Hemidactylus frenatus Schlegel, 1836","Gekkonidae","SPECIES","4"
"Lachesis acrochorda (Garcia, 1896)","Viperidae","SPECIES","4"
"Leptotyphlops joshuai Dunn, 1944","Leptotyphlopidae","SPECIES","4"
"Liotyphlops bondensis armandoi Linares-Vargas et al., 2021","Anomalepididae","SUBSPECIES","4"
"Mastigodryas Amaral, 1935","Colubridae","GENUS","4"
"Micrurus multiscutatus Rendahl & Vestergren, 1940","Elapidae","SPECIES","4"
"Micrurus Wagler, 1824","Elapidae","GENUS","4"
"Phimophis guianensis (Troschel, 1848)","Colubridae","SPECIES","4"
"Pliocercus euryzonus Cope, 1862","Colubridae","SPECIES","4"
"Prionodactylus vertebralis (O'Shaugnessy, 1879)","Gymnophthalmidae","SPECIES","4"
"Pseustes shropshirei (Barbour & Amaral, 1924)","Colubridae","SPECIES","4"
"Tantilla longifrontalis (Boulenger, 1896)","Colubridae","SPECIES","4"
"Urotheca decipiens (Günther, 1893)","Colubridae","SPECIES","4"
"Urotheca fulviceps (Cope, 1886)","Colubridae","SPECIES","4"
"Trilepida Hedges, 2011","Leptotyphlopidae","GENUS","3"
"Liotyphlops Peters, 1881","Anomalepididae","GENUS","3"
"Loxopholis southi (Ruthven & Gaige, 1924)","Gymnophthalmidae","SPECIES","3"
"Micrurus mipartitus mipartitus","Elapidae","SUBSPECIES","3"
"Echinosaura Boulenger, 1890","Gymnophthalmidae","GENUS","3"
"Holcosus festivus (Lichtenstein & Martens, 1856)","Teiidae","SPECIES","3"
"Tricheilostoma joshuai (Dunn, 1944)","Leptotyphlopidae","SPECIES","3"
"Anolis princeps Boulenger, 1902","Dactyloidae","SPECIES","3"
"Leptophis ahaetulla chocoensis Oliver, 1942","Colubridae","SUBSPECIES","3"
"Atractus crassicaudatus (Duméril, Bibron & Duméril, 1854)","Colubridae","SPECIES","3"
"Hemidactylus Oken, 1817","Gekkonidae","GENUS","3"
"Synophis Peracca, 1896","Colubridae","GENUS","3"
"Atractus lehmanni Boettger, 1898","Colubridae","SPECIES","3"
"Alopoglossus festae (Peracca, 1896)","Alopoglossidae","SPECIES","3"
"Basiliscus basiliscus barbouri Ruthven, 1914","Corytophanidae","SUBSPECIES","3"
"Bothrops rhombeatus Garcia, 1896","Viperidae","SPECIES","3"
"Chelydra serpentina acutirostris Peters, 1862","Chelydridae","SUBSPECIES","3"
"Chironius flavopictus (Werner, 1909)","Colubridae","SPECIES","3"
"Echinosaura palmeri Boulenger, 1911","Gymnophthalmidae","SPECIES","3"
"Anolis danieli Williams, 1988","Dactyloidae","SPECIES","3"
"Liotyphlops albirostris (Peters, 1858)","Anomalepididae","SPECIES","3"
"Amphisbaenidae","Amphisbaenidae","FAMILY","2"
"Leptodeira annulata ashmeadii (Hallowell, 1845)","Colubridae","SUBSPECIES","2"
"Geophis nigroalbus Boulenger, 1908","Colubridae","SPECIES","2"
"Erythrolamprus epinephelus pseudocobella (Peracca, 1914)","Colubridae","SUBSPECIES","2"
"Leptophis Bell, 1825","Colubridae","GENUS","2"
"Liophis Wagler, 1830","Colubridae","GENUS","2"
"Marisora Hedges & Conn, 2012","Scincidae","GENUS","2"
"Dendrophidion prolixum Cadle, 2012","Colubridae","SPECIES","2"
"Crotalus durissus durissus","Viperidae","SUBSPECIES","2"
"Ninia teresitae Angarita-Sierra & Lynch, 2017","Colubridae","SPECIES","2"
"Chironius Fitzinger, 1826","Colubridae","GENUS","2"
"Chelydra serpentina (Linnaeus, 1758)","Chelydridae","SPECIES","2"
"Caiman crocodilus fuscus (Cope, 1868)","Alligatoridae","SUBSPECIES","2"
"Phenacosaurus heterodermus Dumeril, 1851","Polychrotidae","SPECIES","2"
"Bothrops nasutus Bocourt, 1868","Viperidae","SPECIES","2"
"Tropidurus Wied-Neuwied, 1824","Tropiduridae","GENUS","2"
"Podocnemis unifilis Troschel, 1848","Podocnemididae","SPECIES","2"
"Polychrus Cuvier, 1817","Polychrotidae","GENUS","2"
"Basiliscus basiliscus basiliscus","Corytophanidae","SUBSPECIES","2"
"Atractus titanicus Passos, Fernandes & Lynch, 2009","Colubridae","SPECIES","2"
"Pseustes poecilonotus (Günther, 1858)","Colubridae","SPECIES","2"
"Ptychoglossus","Gymnophthalmidae","GENUS","2"
"Atractus boulengerii Peracca, 1896","Colubridae","SPECIES","2"
"Sibon Fitzinger, 1826","Colubridae","GENUS","2"
"Anadia vittata Boulenger, 1913","Gymnophthalmidae","SPECIES","2"
"Trachemys callirostris (Gray, 1856)","Emydidae","SPECIES","2"
"Lachesis muta (Linnaeus, 1766)","Viperidae","SPECIES","2"
"Leimadophis melanotus (Shaw, 1802)","Colubridae","SPECIES","2"
"Lepidoblepharis buchwaldi Werner, 1910","Sphaerodactylidae","SPECIES","2"
"Alopoglossus Boulenger, 1885","Alopoglossidae","GENUS","1"
"Bothrops Wagler, 1824","Viperidae","GENUS","1"
"Epicrates cenchria (Linnaeus, 1758)","Boidae","SPECIES","1"
"Oxyrhopus Wagler, 1830","Colubridae","GENUS","1"
"Pelamis platura (Linnaeus, 1766)","Elapidae","SPECIES","1"
"Lepidoblepharis microlepis (Noble, 1923)","Sphaerodactylidae","SPECIES","1"
"Ameiva Meyer, 1795","Teiidae","GENUS","1"
"Amphisbaena fuliginosa varia Laurenti, 1768","Amphisbaenidae","SUBSPECIES","1"
"Bothriopsis pulchra (Peters, 1862)","Viperidae","SPECIES","1"
"Boa constrictor constrictor","Boidae","SUBSPECIES","1"
"Pliocercus Cope, 1860","Colubridae","GENUS","1"
"Trachemys scripta (Thunberg In Schoepff, 1792)","Emydidae","SPECIES","1"
"Podocnemis expansa (Schweigger, 1812)","Podocnemididae","SPECIES","1"
"Podocnemis lewyana Duméril, 1852","Podocnemididae","SPECIES","1"
"Trachemys scripta elegans (Wied, 1838)","Emydidae","SUBSPECIES","1"
"Leposoma Spix, 1825","Gymnophthalmidae","GENUS","1"
"Kentropyx pelviceps (Cope, 1868)","Teiidae","SPECIES","1"
"Amphisbaena fuliginosa Linnaeus, 1758","Amphisbaenidae","SPECIES","1"
"Bachia bicolor (Cope, 1896)","Gymnophthalmidae","SPECIES","1"
"Urotheca pachyura (Cope, 1875)","Colubridae","SPECIES","1"
"Imantodes chocoensis Torres-Carvajal, Yánez-Muñoz, Quirola, Smith & Almendáriz, 2012","Colubridae","SPECIES","1"
"Pseudoboa cloelia (Daudin, 1803)","Colubridae","SPECIES","1"
"Pseudoboa neuwiedii (Duméril, Bibron & Duméril, 1854)","Colubridae","SPECIES","1"
"Pseustes Fitzinger, 1843","Colubridae","GENUS","1"
"Lampropeltis triangulum andesiana Williams, 1978","Colubridae","SUBSPECIES","1"
"Leptotyphlopidae","Leptotyphlopidae","FAMILY","1"
"Hemidactylus mabouia (Moreau De Jonnès, 1818)","Gekkonidae","SPECIES","1"
"Ptychoglossus gorgonae Harris, 1994","Alopoglossidae","SPECIES","1"
"Atractus steyermarki Roze, 1958","Colubridae","SPECIES","1"
"Atractus sanctaemartae Dunn, 1946","Colubridae","SPECIES","1"
"Atractus nicefori Amaral, 1930","Colubridae","SPECIES","1"
"Atractus manizalesensis Prado, 1940","Colubridae","SPECIES","1"
"Erythrolamprus epinephalus (Cope, 1862)","Colubridae","SPECIES","1"
"Erythrolamprus pseudocorallus Roze, 1959","Colubridae","SPECIES","1"
"Rhinoclemmys punctularia (Daudin, 1801)","Geoemydidae","SPECIES","1"
"Hemidactylus angulatus Hallowell, 1854","Gekkonidae","SPECIES","1"
"Riama Gray, 1858","Gymnophthalmidae","GENUS","1"
"Riama laevis (Boulenger, 1908)","Gymnophthalmidae","SPECIES","1"
"Atractus andinus Prado, 1944","Colubridae","SPECIES","1"
"Saphenophis boursieri (Jan, 1867)","Colubridae","SPECIES","1"
"Saphenophis Myers, 1972","Colubridae","GENUS","1"
"Anomalepididae","Anomalepididae","FAMILY","1"
"Saphenophis tristriatus (Rendahl & Vestergren, 1940)","Colubridae","SPECIES","1"
"Anolis tropidogaster Hallowell, 1856","Dactyloidae","SPECIES","1"
"Anolis triumphalis (Nicholson & Köhler, 2014)","Dactyloidae","SPECIES","1"
"Gymnophthalmus Merrem, 1820","Gymnophthalmidae","GENUS","1"
"Erythrolamprus Wagler, 1830","Colubridae","GENUS","1"
"Sibon nebulatus nebulatus","Colubridae","SUBSPECIES","1"
"Anolis orcesi (Lazell, 1969)","Dactyloidae","SPECIES","1"
"Sphaerodactylidae","Sphaerodactylidae","FAMILY","1"
"Gonatodes humeralis (Guichenot, 1855)","Sphaerodactylidae","SPECIES","1"
"Spilotes Wagler, 1830","Colubridae","GENUS","1"
"Stenocercus A.M.C.Duméril & Bibron, 1837","Tropiduridae","GENUS","1"
"Stenocercus erythrogaster (Hallowell, 1856)","Tropiduridae","SPECIES","1"
"Anolis aequatorialis Werner, 1894","Dactyloidae","SPECIES","1"
"Synophis bicolor Peracca, 1896","Colubridae","SPECIES","1"
