"scientific_name","family","taxonrank","gbif_rec"
"Casearia aculeata Jacq.","Salicaceae","SPECIES","105"
"Geonoma interrupta (Ruiz & Pav.) Mart.","Arecaceae","SPECIES","104"
"Hamelia patens Jacq.","Rubiaceae","SPECIES","104"
"Chiococca alba (L.) Hitchc.","Rubiaceae","SPECIES","101"
"Nectandra acutifolia (Ruiz & Pav.) Mez","Lauraceae","SPECIES","101"
"Geonoma cuneata H.Wendl. ex Spruce","Arecaceae","SPECIES","100"
"Acalypha diversifolia Jacq.","Euphorbiaceae","SPECIES","100"
"Oreopanax incisus (Willd. ex Schult.) Decne. & Planch.","Araliaceae","SPECIES","98"
"Meriania speciosa (Bonpl.) Naudin","Melastomataceae","SPECIES","98"
"Siparuna laurifolia (Kunth) A.DC.","Siparunaceae","SPECIES","98"
"Guarea Allemão ex L.","Meliaceae","GENUS","98"
"Clusiaceae","Clusiaceae","FAMILY","97"
"Cordia L.","Cordiaceae","GENUS","96"
"Geonoma Willd.","Arecaceae","GENUS","95"
"Sciodaphyllum P.Browne","Araliaceae","GENUS","95"
"Myrcia DC. ex Guill.","Myrtaceae","GENUS","95"
"Urera baccifera (L.) Gaudich. ex Wedd.","Urticaceae","SPECIES","95"
"Epidendrum L.","Orchidaceae","GENUS","94"
"Roystonea regia (Kunth) O.F.Cook","Arecaceae","SPECIES","94"
"Arecaceae","Arecaceae","FAMILY","93"
"Croton L.","Euphorbiaceae","GENUS","93"
"Hypericum laricifolium Juss.","Hypericaceae","SPECIES","93"
"Chamaedorea pinnatifrons (Jacq.) Oerst.","Arecaceae","SPECIES","93"
"Paullinia globosa Killip & Cuatrec.","Sapindaceae","SPECIES","92"
"Heliconia griggsiana L.B.Sm.","Heliconiaceae","SPECIES","91"
"Pouteria buenaventurensis (Aubrév.) Pilz","Sapotaceae","SPECIES","91"
"Urera baccifera (L.) Gaudich.","Urticaceae","SPECIES","89"
"Geissanthus bogotensis Mez","Primulaceae","SPECIES","89"
"Anacardium excelsum (Bertero & Balb.) Skeels","Anacardiaceae","SPECIES","89"
"Anthurium verrucosum Croat & D.C.Bay","Araceae","SPECIES","88"
"Persea rigens C.K.Allen","Lauraceae","SPECIES","88"
"Otoba latialata (Pittier) A.H.Gentry","Myristicaceae","SPECIES","88"
"Faramea calophylla Standl.","Rubiaceae","SPECIES","87"
"Kohleria spicata (Kunth) Oerst.","Gesneriaceae","SPECIES","87"
"Ochroma pyramidale (Cav.) Urb.","Malvaceae","SPECIES","87"
"Spathodea campanulata Beauverd","Bignoniaceae","SPECIES","87"
"Erythroxylum citrifolium A.St.-Hil.","Erythroxylaceae","SPECIES","87"
