"scientific_name","family","gbif_rec"
"Banara guianensis Aubl.","Salicaceae","64"
"Anthurium fragrans Croat & D.C.Bay","Araceae","63"
"Faramea oblongifolia Standl.","Rubiaceae","63"
"Heliconia latispatha Benth.","Heliconiaceae","63"
"Mimosa pudica L.","Fabaceae","63"
"Xylosma intermedia (Seem.) Griseb.","Salicaceae","63"
"Urera caracasana (Jacq.) Gaudich. ex Griseb.","Urticaceae","63"
"Freziera canescens Bonpl.","Pentaphylacaceae","63"
"Trichilia hirta L.","Meliaceae","62"
"Oreopanax floribundus Decne. & Planch.","Araliaceae","62"
"Eleutheranthera tenella (Kunth) H.Rob.","Asteraceae","62"
"Hedyosmum cuatrecazanum Occhioni","Chloranthaceae","62"
"Guatteria goudotiana Triana & Planch.","Annonaceae","62"
"Otoba novogranatensis Moldenke","Myristicaceae","62"
"Tillandsia elongata Kunth","Bromeliaceae","61"
"Anthurium panduriforme Schott","Araceae","61"
"Heliconia spiralis Abalo & G.Morales","Heliconiaceae","61"
"Isertia pittieri (Standl.) Standl.","Rubiaceae","61"
"Marcgravia L.","Marcgraviaceae","61"
"Ficus insipida Willd.","Moraceae","61"
"Clibadium F.Allam. ex L.","Asteraceae","61"
"Eschweilera sclerophylla Cuatrec.","Lecythidaceae","60"
"Lycopodium jussiaei Desv. ex Poir.","Lycopodiaceae","60"
"Palicourea acetosoides Wernham","Rubiaceae","60"
"Anthurium vallense Croat","Araceae","60"
"Heliconia regalis L.Andersson","Heliconiaceae","59"
"Ficus obtusifolia Kunth","Moraceae","59"
"Chrysochlamys colombiana (Cuatrec.) Cuatrec.","Clusiaceae","59"
"Elaeis guineensis Jacq.","Arecaceae","59"
"Anthurium caucavallense Croat","Araceae","59"
"Muntingia calabura L.","Muntingiaceae","59"
"Casearia megacarpa Cuatrec.","Salicaceae","59"
"Glossoloma panamense (C.V.Morton) J.L.Clark","Gesneriaceae","59"
"Miconia theaezans (Bonpl.) Cogn.","Melastomataceae","59"
"Croton ferrugineus Kunth","Euphorbiaceae","59"
"Faramea Aubl.","Rubiaceae","58"
"Heliocarpus americanus L.","Malvaceae","58"
"Chamaedorea linearis (Ruiz & Pav.) Mart.","Arecaceae","58"
"Faramea insignis Standl.","Rubiaceae","58"
"Philodendron dryanderae Croat & D.C.Bay","Araceae","57"
"Duranta erecta L.","Verbenaceae","57"
"Passiflora coriacea Juss.","Passifloraceae","57"
"Catalpa longissima (Jacq.) Dum.Cours.","Bignoniaceae","57"
"Orchidaceae","Orchidaceae","57"
"Iryanthera megistophylla A.C.Sm.","Myristicaceae","57"
"Annonaceae","Annonaceae","57"
"Sterculia L.","Malvaceae","57"
"Tournefortia L.","Heliotropiaceae","57"
"Philodendron verrucosum L.Mathieu ex Schott","Araceae","56"
"Aiouea montana (Sw.) R.Rohde","Lauraceae","56"
"Synechanthus warscewiczianus H.Wendl.","Arecaceae","56"
"Psidium guineense Sw.","Myrtaceae","56"
"Passiflora auriculata Kunth","Passifloraceae","56"
"Ficus tonduzii Standl.","Moraceae","56"
"Brunellia goudotii Tul.","Brunelliaceae","56"
"Ladenbergia macrocarpa (Vahl) Klotzsch","Rubiaceae","56"
"Solanum colombianum Dunal","Solanaceae","56"
"Annona quinduensis Kunth","Annonaceae","56"
"Philodendron polliciforme Croat & D.C.Bay","Araceae","56"
"Anthurium trilobum Lindl.","Araceae","55"
"Mabea klugii Steyerm.","Euphorbiaceae","55"
"Lacistema aggregatum Fawc. & Rendle","Lacistemataceae","55"
"Montanoa quadrangularis Sch.Bip.","Asteraceae","54"
"Aniba perutilis Hemsl.","Lauraceae","54"
"Erythrina poeppigiana (Walp.) O.F.Cook","Fabaceae","54"
"Mabea Aubl.","Euphorbiaceae","54"
"Trigonobalanus excelsa Lozano, Hern.Cam. & Henao","Fagaceae","54"
"Vismia Vand.","Hypericaceae","54"
"Zanthoxylum schreberi (J.F.Gmel.) Reynel","Rutaceae","54"
"Galium hypocarpium (L.) Endl. ex Griseb.","Rubiaceae","54"
"Costus L.","Costaceae","53"
"Compsoneura trianae Warb.","Myristicaceae","53"
"Philodendron subhastatum K.Krause","Araceae","53"
"Heisteria acuminata (Bonpl.) Engl.","Erythropalaceae","53"
"Anthurium myosuroides (Kunth) Schott","Araceae","53"
"Cecropia virgusa Cuatrec.","Urticaceae","53"
"Nyctaginaceae","Nyctaginaceae","53"
"Quercus humboldtii Kotschy ex A.DC.","Fagaceae","53"
"Philodendron ninoanum Croat & D.C.Bay","Araceae","53"
"Columnea parviflora C.V.Morton","Gesneriaceae","52"
"Cyperaceae","Cyperaceae","52"
"Pseudolmedia rigida (Klotzsch & H.Karst.) Cuatrec.","Moraceae","52"
"Solanaceae","Solanaceae","52"
"Drymonia Mart.","Gesneriaceae","52"
"Annona L.","Annonaceae","52"
"Dussia lehmannii Harms","Fabaceae","52"
"Gaiadendron punctatum (Ruiz & Pav.) G.Don","Loranthaceae","51"
"Anthurium glaucospadix Croat","Araceae","51"
"Cecropia telealba Cuatrec.","Urticaceae","51"
"Aniba Aubl.","Lauraceae","51"
"Philodendron canicaule Croat & D.C.Bay","Araceae","51"
"Oenocarpus minor Mart.","Arecaceae","51"
"Vochysia Aubl.","Vochysiaceae","51"
"Malpighiaceae","Malpighiaceae","51"
"Euphorbia L.","Euphorbiaceae","51"
"Weinmannia pubescens Kunth","Cunoniaceae","50"
"Amphidasya ambigua (Standl.) Standl.","Rubiaceae","50"
"Acacia farnesiana (L.) Willd.","Fabaceae","50"
"Sematophyllaceae","Sematophyllaceae","50"
"Paullinia dodgei Standl.","Sapindaceae","50"
"Psychotria cooperi Standl.","Rubiaceae","50"
"Saurauia cuatrecasana R.E.Schult.","Actinidiaceae","50"
"Pachira speciosa Triana & Planch.","Malvaceae","50"
