"scientific_name","family","taxonrank","gbif_rec"
"Boana platanera Escalona, Marca, Castellanos, Fouquet, Crawford, Rojas-Runjaic, Giaretta, Señaris & Castroviejo-Fisher, 2021","Hylidae","SPECIES","22"
"Pristimantis chalceus (Peters, 1873)","Craugastoridae","SPECIES","21"
"Centrolene geckoideum Jiménez de la Espada, 1872","Centrolenidae","SPECIES","21"
"Pristimantis labiosus (Lynch, Ruiz-Carranza & Ardila-Robayo, 1994)","Craugastoridae","SPECIES","21"
"Hyalinobatrachium fleischmanni (Boettger, 1893)","Centrolenidae","SPECIES","20"
"Leucostethus brachistriatus (Rivero & Serna, 1986)","Dendrobatidae","SPECIES","19"
"Eleutherodactylus acatallelus Lynch & Ruiz-Carranza, 1983","Craugastoridae","SPECIES","18"
"Pristimantis myops (Lynch, 1998)","Craugastoridae","SPECIES","17"
"Rhinella alata (Thominot, 1884)","Bufonidae","SPECIES","17"
"Sachatamia orejuela (Duellman & Burrowes, 1989)","Centrolenidae","SPECIES","17"
"Caecilia Linnaeus, 1758","Caeciliidae","GENUS","17"
"Centrolene buckleyi (Boulenger, 1882)","Centrolenidae","SPECIES","16"
"Nymphargus ruizi (Lynch, 1993)","Centrolenidae","SPECIES","16"
"Pristimantis viridicans (Lynch, 1977)","Craugastoridae","SPECIES","15"
"Teratohyla pulverata (Peters, 1873)","Centrolenidae","SPECIES","14"
"Eleutherodactylus raniformis (Boulenger, 1896)","Craugastoridae","SPECIES","14"
"Strabomantis biporcatus Peters, 1863","Craugastoridae","SPECIES","14"
"Eleutherodactylus orpacobates Lynch, Ruiz-Carranza & Ardila-Robayo, 1994","Craugastoridae","SPECIES","14"
"Gastrotheca antomia Ruiz-Carranza, Ardila-Robayo, Lynch & Restrepo-Toro, 1997","Hemiphractidae","SPECIES","14"
"Nymphargus grandisonae (Cochran & Goin, 1970)","Centrolenidae","SPECIES","13"
"Boana picturata (Boulenger, 1899)","Hylidae","SPECIES","13"
"Colostethus Cope, 1866","Dendrobatidae","GENUS","13"
"Bufo blombergi Myers & Funkhouser, 1951","Bufonidae","SPECIES","12"
